975 -> Node: < Primordial, Ljava/util/concurrent/locks/AbstractQueuedSynchronizer, acquireQueued(Ljava/util/concurrent/locks/AbstractQueuedSynchronizer$Node;I)Z > Context: Everywhere
531 -> Node: < Primordial, Ljava/util/HashMap, addNewEntry(Ljava/lang/Object;Ljava/lang/Object;II)V > Context: Everywhere
1119 -> Node: < Primordial, Llibcore/reflect/AnnotationAccess, getDexClass(Ljava/lang/reflect/AnnotatedElement;)Ljava/lang/Class; > Context: Everywhere
1102 -> Node: < Primordial, Ljava/lang/Class, getDexCacheString(Lcom/android/dex/Dex;I)Ljava/lang/String; > Context: Everywhere
121 -> Node: < Primordial, Ljava/lang/RealToString, <init>()V > Context: Everywhere
602 -> Node: < Primordial, Ljava/lang/Error, <init>(Ljava/lang/String;)V > Context: Everywhere
663 -> Node: < Primordial, Ljava/lang/AbstractStringBuilder, length()I > Context: Everywhere
1080 -> Node: < Primordial, Ljava/util/Random, setSeed(J)V > Context: Everywhere
115 -> Node: < Primordial, Landroid/animation/AnimatorSet$Dependency, <init>(Landroid/animation/AnimatorSet$Node;I)V > Context: Everywhere
823 -> Node: < Primordial, Landroid/animation/Keyframe, ofFloat(FF)Landroid/animation/Keyframe; > Context: Everywhere
424 -> Node: < Primordial, Landroid/animation/ValueAnimator, <clinit>()V > Context: Everywhere
369 -> Node: < Primordial, Landroid/animation/AnimatorSet$AnimatorSetListener, onAnimationCancel(Landroid/animation/Animator;)V > Context: Everywhere
1003 -> Node: < Primordial, Landroid/animation/Animator, getListeners()Ljava/util/ArrayList; > Context: Everywhere
1243 -> Node: < Primordial, Ljava/util/concurrent/CopyOnWriteArraySet, iterator()Ljava/util/Iterator; > Context: Everywhere
1330 -> Node: < Primordial, Ljava/lang/reflect/Modifier, isInterface(I)Z > Context: Everywhere
70 -> Node: < Primordial, Landroid/util/SparseArray, <init>(I)V > Context: Everywhere
144 -> Node: < Primordial, Ljava/util/concurrent/CopyOnWriteArrayList, <init>()V > Context: Everywhere
537 -> Node: < Primordial, Lcom/android/internal/util/FastPrintWriter, append(Ljava/lang/CharSequence;II)Ljava/io/PrintWriter; > Context: Everywhere
1186 -> Node: < Primordial, Ljava/util/TimSort, mergeCollapse()V > Context: Everywhere
1248 -> Node: < Primordial, Ljava/nio/ByteArrayBuffer, protectedArrayOffset()I > Context: Everywhere
893 -> Node: < Primordial, Ljava/lang/IllegalMonitorStateException, <init>()V > Context: Everywhere
1057 -> Node: < Primordial, Ljava/lang/Class, isLocalClass()Z > Context: Everywhere
504 -> Node: < Primordial, Ljava/util/ArrayList, set(ILjava/lang/Object;)Ljava/lang/Object; > Context: Everywhere
316 -> Node: < Primordial, Ljava/nio/ByteArrayBuffer, <init>(I[BIZ)V > Context: Everywhere
314 -> Node: < Primordial, Llibcore/reflect/AnnotationAccess, indexToMethod(Ljava/lang/Class;Lcom/android/dex/Dex;I)Ljava/lang/reflect/AccessibleObject; > Context: Everywhere
235 -> Node: < Primordial, Ljava/util/AbstractList, <init>()V > Context: Everywhere
146 -> Node: < Primordial, Ljava/util/ComparableTimSort, <init>([Ljava/lang/Object;)V > Context: Everywhere
